POINTNUM,BAYNUM,POINTNAME,LAT,LON,Hg,Pv,HgPupSurveySite,PvPupSurveySite
238,6,Rock South Dyer Ledge,44.483,-67.798,,Y,,Y
456,10,Rock T,44.07533833,-68.58991667,,Y,,Y
321,8,Rocky Ledge,44.21572673,-68.47759603,,Y,,Y
92,3,Roque Island Thorofare Ledge,44.56667,-67.51108,,Y,,Y
67,2,Round Island,44.66848333,-67.35473333,,Y,,Y
292,7,Rummel Island,44.242,-68.2,,Y,,Y
944,21,Saddle Island,44.17898333,-68.96503333,,Y,,Y
458,23,Saddleback Island 3,44.112785,-68.538265,Y,Y,,Y
899,19,Saddleback Ledge 2,44.01455,-68.72651667,Y,Y,,Y
30,1,Sal Seal Island and Ledges,44.89179667,-67.16849833,,Y,,Y
239,6,Sally Island Rock,44.45703333,-67.91313333,,Y,,Y
459,23,Sand Cove Ledge 2,44.148405,-68.47233,,Y,,Y
240,6,Sand Cove Ledge 3,44.40090333,-67.959525,,Y,,Y
129,4,Sand Cove Ledge 4,44.49314,-67.57924,,Y,,Y
322,8,Sand Island 1,44.25360921,-68.49485677,Y,Y,,Y
599,13,Sand Island 2,43.71242667,-70.10645333,,Y,,Y
726,16,Sand Island 3,43.96903333,-69.35125,,Y,,Y
550,13,Sandy Point Ledges,43.766825,-70.15372667,,Y,,Y
93,3,Sandy Rock Ledge,44.57206667,-67.56584833,,Y,,Y
68,2,Scabby Island,44.57063333,-67.40698333,,Y,,Y
241,6,Schoodic Island,44.33163249,-68.02924805,Y,Y,,Y
31,1,Schooner Cove Island,44.89557333,-67.11981667,,Y,,Y
831,18,Scott Island Ledge,44.282,-68.749,,Y,,Y
460,23,Scrag Island 1,44.11667,-68.43726333,,Y,,Y
832,18,Scrag Island 2,44.22341667,-68.83388333,,Y,,Y
461,23,Scrag Island Ledge,44.11307,-68.43386167,,Y,,Y
386,9,Scraggy Island Ledge 2,44.12420667,-68.70903333,,Y,,Y
